image_path,transcription
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_001.png,"A Vos, Dulcissimo Niño"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_002.png,"JESUS, que no solo os"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_003.png,dignasteis de llamaros
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_004.png,"Doctor de los Niños,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_005.png,sino también de assis-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_006.png,"tir como Niño entre los Doctores,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_007.png,se consagra humilde esta pequeña
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_008.png,"Instrucción de los Niños. Es assi,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_009.png,que ella también se dirige a la ju-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_010.png,"ventud; pero a esta, como recuer-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_011.png,"do de lo que aprendió, a los Ni-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_012.png,"ños, como precisa explicacion de"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_013.png,lo que deben estudiar. Por este so-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_014.png,lo titulo es muy vuestra; y por
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_015.png,"ser para Niños, que confiais a la"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_016.png,"educacion de vuestra Compañia,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_017.png,"lo es mucho mas. En Vos, (Divi-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_018.png,no Exemplar de todas las virtu-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_019.png,des) tienen abreviado el mas se-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_001.png,guro disseño de su edad: la Reli-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_002.png,gion para con Dios en la devota
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_003.png,assistencia a los Templos; la piedad
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_004.png,con los Padres en la obediencia
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_005.png,"mas rendida; y la modestia, y de-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_006.png,"seo de saber, con los mayores,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_007.png,"gustando mas de oir, y pregun-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_008.png,"tar, que de definir, y resolver. Bien"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_009.png,que esto en vuestra infinita Sabi-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_010.png,"duria fue soberana dignacion, y"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_011.png,en la natural ignorancia de los
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_012.png,Niños es indispensable necessi-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_013.png,dad.
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_014.png,Ni tienen solamente en Vos
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_015.png,"el disseño, la luz, y el exemplo,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_016.png,"sino tambien el amor, y protec-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_017.png,"cion. Vos, como singular Maes-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_018.png,"tro de los Niños, les dais enten-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_019.png,"dimiento, y comunicais la sabi-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_020.png,duria. Vos les prometeis el Reyno
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_021.png,"de los Cielos, y os indignais con"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_022.png,"quien les aparta de Vos, y les"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_023.png,proponeis por norma del can-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_024.png,"dor, inocencia, y christiana hu-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_025.png,mildad. Vuestro amor parece que
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_026.png,"no pudo explicarse mas tierno, y"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_027.png,"liberal con los Niños, pues no"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\2\line_028.png,contento de echarles vuestras di-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_001.png,"divinas bendiciones, les unisteis"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_002.png,a vuestro sagrado pecho con sua-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_003.png,"vissimos abrazos. Dichosa edad,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_004.png,que os merecio tan regalados cariños!
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_005.png,Y pues en la celestial Jeru-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_006.png,salen no ha mudado de condicion
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_007.png,"vuestra Benignidad, proseguid,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_008.png,"o Niño tierno, y Dios Eterno,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_009.png,"proseguid en bendecirles, y favo-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_011.png,recerles. Sean tan fervorosamen-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_012.png,te devotos de vuestra Admirable
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_013.png,"MADRE, que se porten como sus"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_014.png,"hijos, y hermanos de leche con"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_015.png,"Vos. Seran sabios, si fueren cas-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_016.png,tos; que no entra vuestra Sabi-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_017.png,"duria, donde no ay mucha pure-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_018.png,za de conciencia. Crezcan en
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_019.png,"vuestro santo temor, y amor, co-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_020.png,"como en los años, y mucho mas."
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_021.png,"Adelantense en la virtud, como"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_022.png,"en las letras, y mucho mas; has-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_023.png,"ta que lleguen, por vuesetra imi-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_024.png,"tacion, a ser varones perfectos,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_025.png,"y consumados, agradables a"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_026.png,"vuestros ojos, y provechosos a"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_027.png,"la Republica, que libra casi to-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\3\line_028.png,da su felizidad en la acertada
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\4\line_001.png,"crianza de la niñez. Assi sea,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\4\line_002.png,"Divinissimo Niño, por vuestra"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\4\line_003.png,"gracia, assi sea, a vuestra ma-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\4\line_004.png,yor gloria. Amen.
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_001.png,"QUANDO En Madrid bese a v. m. las manos, demas del contento que siempre recibo"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_002.png,"de hazerlo, y de cumplir con las obligaciones generales, y particulares, que a la per-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_003.png,"sonade v. m. tengo ver me holgue grandemente de, la primera parte del libro q v. m. ha"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_004.png,"tantos años que trabaja, y ha comenzado a imprimir: porque teniendo yo opinion de"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_005.png,"que desta obra se ha de seguir gran utilidad, y honor a la nacion Española, estoy muy contento de"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_006.png,"que esto proceda de persona que tanto me toca, peus es notorio el Deudo que v. m. tiene con la an-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_007.png,"tigua, y noble casa de Valero, de donde yo tengo la decendencia, y es tambien notorio ser v. m."
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_008.png,"sobrino de los dos mas insignes varones que ha tenido nuestro siglo en letras, criados ambos en esta"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_009.png,"santa casa de San Salvador de Oviedo. El primero el gran Diego de Covarruvias, que basta dezir"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_010.png,"su nombre, para que en todo el mundo se entienda lo que merecio, y valio, el hombre mayor en el"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_011.png,"conocimiento de las letras humanas, y divinas, que ha tenido España, el que las naciones estran-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_012.png,"geras llaman el Bartulo Español, gran Prelado, exemplo de los que tienen la suprema autoridad"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_013.png,"Episcopal, gran Presidente del Real Consejo de Castilla, por cuyas pisadas han caminado todos"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_014.png,"los que han deseado mucho cumplir con las obligaciones de aquel oficio, de cuyas obras no ten-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_015.png,"go para que hablar, pues son tan conocidas, y celebradas en el mundo. De lo que puedo ser testigo"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_016.png,"de vista, es que en este Colegio mayor de Oviedo esta la joya que mas estimo en la vida, que es su"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_017.png,"librería, con que ser de las mas copiosas que ay en España, y de todo genero de facultades, no ay"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_018.png,"libro ninguno en ella que no este todo glossado de su mano, cosa que como admira a todos, puede"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_019.png,"enseñar a los de nuestro siglo a ser estudiantes como lo han de ser, pues en el golfo de los negocios,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_020.png,"y gobierno del mundo, jamas se descuydo de passar, y estudiar sus libros. El otro deudo nuestro,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_021.png,"y tio de v. m. fue el señor don Antonio de Covarruvias, hermano suyo, primero del Consejo Real"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_022.png,"de Castilla, y despues Canonigo, y Maestrescuela de la Santa Iglesia de Toledo, donde murio con"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_023.png,universal sentimiento de todos los hombres doctos: porque aunque no se aplicó a escribir como su
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_024.png,"hermano, fue opinion muy cierta de todos que lo pudiera hazer tambien como el. Fue el oraculo"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_025.png,"de todos los hombres doctos de todas las facultades, a los quales aunque avia perdido totalmente"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_026.png,"el sentido del oido, hablava a cada uno en la suya cosas tan exquisitas, que ninguno se apartava"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_027.png,"del, sin grandissima admiracion: pero particularmente los que professavan letras humanas, le te-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_028.png,"nian por milagro en ellas, por el grande conocimiento, y nunca visto en hombre Español de la"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_029.png,"lengua Griega, y Latina, y admirable gracia, y don en la facultad Poetica. Estos ilustres varones"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_030.png,"salieron deste Colegio, de donde avia salido aquel varon nunca acabado de alabar, el Doctor"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_031.png,"Martin Azpilcueta Navarro, nobilissimo en sangre, santissimo en costumbres, y admirable en"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_032.png,"erudicion, cuyas obras han merecido la mayor aprobacion que las de ningun hombre de nuestro"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_033.png,"siglo. Las pisadas destos tales tres varones impressas en este Colegio, mueven mucho a los que en"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_034.png,"el estamos a la imitacion dellos, y a toda España a reconocer la deuda grande, que a esta santa casa"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_035.png,"tiene, por averselos criado, y dado, sin otros infinitos que en su tanto la han honrado mucho."
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_036.png,"Prendas son estas señor, para que yo estime tal deudo, quando v. m. por su persona no me diera"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_037.png,"tantas, y tan grandes causas de estima: pero desta materia no es sujeto capaz una carta, y assi vengo"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_038.png,"a la obra de v. m. la qual creo que emprendio v. m. con zelo grande de la utilidad, y honra de España,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_039.png,"aviendo v. m. embiado como Precursor della el ingeniosissimo libro de los Emblemas, que ha"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_040.png,"dado bien a entender el ingenio, y erudicion de v. m. y esta obra de las Etymologias ha de dar no-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_041.png,"ticia a los estrangeros del lenguaje Español, y de su propiedad, y elegancia, que es muy gran honor"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_042.png,"de la nacion Española: pero lo que es mas de estimar, y demas rara utilidad, es que dara v. m."
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_043.png,"con el noticia a los Españoles de su propio lenguage, porque es impossible que se tenga"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\7\line_044.png,cumplida de ninguno sin el conocimiento de las Etymologias: y como la mayor parte del
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_001.png,"Conocimiento de las cosas depende del de los vocablos, el que ayuda a esta, ayuda mucho a todas"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_002.png,"las ciencias: y assi los grandes Filosofos antiguos trabajaron mucho en esta parte, como fue Platon"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_003.png,"en su Dialogo Cratilo, que oy en dia leemos, a cuya imitacion los Latinos trataron esta facultad,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_004.png,"aunque con mayores ayudas que los Griegos, por tener mas conocidos los manantiales de su lengua-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_005.png,"ge, el qual casi todo es Griego, aunque Marco Vatron en los libros qu eescrivio en lengua Latina"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_006.png,"a Ciceron, quiso huir el cuerpo desto, pretendiendo hazer creer que la lengua Latina tenia voca-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_007.png,"blos propios, no tomados de otra, y esto pretendiendo autorizar su lenguaje, siendo cosa cierta, que"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_008.png,"el lo sabia mejor que otro ninguno, pues era el mas docto hombre de todos los mortales que no te-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_009.png,"nia la lengua Latina vocablo ninguno propio suyo: y echasele de ver que quiso engañar, pues en al-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_010.png,"gunas Etymologias que quiso deduzir de los vocablos que el fingio ser originariamente Latinos, no"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_011.png,"pudo encubrir el engaño, como quando dixo que Pater se deduzia del verbo Patrare, que no igno-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_012.png,"rava el que Pater es vocablo puramente Griego, del qual se derivava el verbo Patrare, y todos los"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_013.png,demás que tienen esse origen. Y aunque en su tiempo no pudo engañar a los hombres que sabian tan-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_014.png,"to del lenguaje Latino, engaño en los venideros a muchos: y assi el bienaventurado San Isidoro, que"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_015.png,"en sus Etymologias mezclo muchos de los vocablos Latinos, dio ocasión a al irrisiori de los no tan"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_016.png,"pios, y a que su grande autoridad se enflaqueciesse por esse camino, acerca de los Criticos rigurosos"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_017.png,de nuestros tiempos dexo a parte las ridiculas Etymologias de los Gramaticos ignorantes de la len-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_018.png,"gua Griega, que no sirven de otra cosa, sino de causar risa a los que la saben, como dezir que el voca-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_019.png,"blo Purus desciende de pus puris, y que por antiphrasi, q es otra gentil patraña suya, se dize purum,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_020.png,"quod caret pure, que no tiene podre, siendo manifiesto, que purus se dize del Griego piro, piros, que"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_021.png,"es el fuego, cuerpo mas puro de quantos la taturaleza hizo; seria nunca acabar tratar esta materia."
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_022.png,Entendido han en la correccion destos errores los mayores hombres de nuestros tiempos: Nicolao
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_023.png,"Peroto en su Cornucopia abrio mucho el camino para esto, Julio Cesar, Scaligero en su libro de cau-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_024.png,"sis linguae Latina, y su hijo Josepho Scaligero, el Principe de los humanistas de nuestro tiempo, cor-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_025.png,rigio los engaños de Marco Varron en los Coniectaneos que hizo sobre su libro: y todos quantos
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_026.png,"han escrito libros Criticos en nuestros tiempos, han procurado adornarlos con verdaderas, y doctas"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\8\line_027.png,"Etymologias: dexo a parte el libro que agora escrivio Ivan Fungero de Etymologyas, que este bien"
